# 2WD PID 循线 · S 弯赛道 · Kp=0.6 Ki=0 Kd=6 · 100 Hz
t,nL,nM,nR,error,u,pwmL,pwmR,state
17.020,0.2640,0.6200,0.0000,-29.86,-29.66,76,150,TURN_LEFT
17.030,0.2440,0.6080,0.0120,-26.85,1.96,123,140,TURN_LEFT
17.040,0.2480,0.6000,0.0200,-26.27,-12.25,102,150,TURN_LEFT
17.050,0.2560,0.6040,0.0040,-29.17,-34.90,68,150,TURN_LEFT
17.060,0.2560,0.5920,0.0000,-30.19,-24.25,84,150,TURN_LEFT
17.070,0.2680,0.5880,0.0000,-31.31,-25.50,82,150,TURN_LEFT
17.080,0.2720,0.5680,0.0040,-31.75,-21.72,87,150,TURN_LEFT
17.090,0.2680,0.5920,0.0000,-31.16,-15.15,97,150,TURN_LEFT
17.100,0.2880,0.5720,0.0000,-33.49,-34.05,69,150,TURN_LEFT
17.110,0.3000,0.5760,0.0040,-33.64,-21.07,88,150,TURN_LEFT
17.120,0.2880,0.5760,0.0000,-33.33,-18.18,93,150,TURN_LEFT
17.130,0.2560,0.5760,0.0000,-30.77,-3.08,115,150,TURN_LEFT
17.140,0.2800,0.5760,0.0000,-32.71,-31.27,73,150,TURN_LEFT
17.150,0.2800,0.5840,0.0120,-30.59,-5.66,112,150,TURN_LEFT
17.160,0.3040,0.5600,0.0160,-32.73,-32.44,71,150,TURN_LEFT
17.170,0.2920,0.5600,0.0000,-34.27,-29.83,75,150,TURN_LEFT
17.180,0.3000,0.5560,0.0000,-35.05,-25.67,81,150,TURN_LEFT
17.190,0.2840,0.5640,0.0000,-33.49,-10.76,104,150,TURN_LEFT
17.200,0.3000,0.5520,0.0000,-35.21,-31.45,73,150,TURN_LEFT
17.210,0.3040,0.5680,0.0240,-31.25,5.02,128,135,TURN_LEFT
17.220,0.3240,0.5480,0.0000,-37.16,-57.73,33,150,TURN_LEFT
17.230,0.2920,0.5560,0.0000,-34.43,-4.33,114,150,TURN_LEFT
17.240,0.3000,0.5720,0.0000,-34.40,-20.46,89,150,TURN_LEFT
17.250,0.2920,0.5600,0.0280,-30.00,8.42,133,129,TURN_LEFT
17.260,0.3080,0.5400,0.0040,-35.68,-55.49,37,150,TURN_LEFT
17.270,0.3080,0.5360,0.0000,-36.49,-26.77,80,150,TURN_LEFT
17.280,0.2920,0.5480,0.0080,-33.49,-2.08,117,148,TURN_LEFT
17.290,0.2880,0.5320,0.0000,-35.12,-30.86,74,150,TURN_LEFT
17.300,0.3280,0.5440,0.0000,-37.61,-37.53,64,150,TURN_LEFT
17.310,0.3360,0.5320,0.0000,-38.71,-29.80,75,150,TURN_LEFT
17.320,0.3000,0.5680,0.0000,-34.56,4.15,126,137,TURN_LEFT
17.330,0.3280,0.5520,0.0000,-37.27,-38.63,62,150,TURN_LEFT
17.340,0.3200,0.5400,0.0280,-32.88,6.61,130,132,TURN_LEFT
17.350,0.3160,0.5440,0.0000,-36.74,-45.21,52,150,TURN_LEFT
17.360,0.3040,0.5400,0.0000,-36.02,-17.26,94,150,TURN_LEFT
17.370,0.3240,0.5440,0.0000,-37.33,-30.25,75,150,TURN_LEFT
17.380,0.3000,0.5360,0.0000,-35.89,-12.88,101,150,TURN_LEFT
17.390,0.3160,0.5520,0.0120,-34.55,-12.69,101,150,TURN_LEFT
17.400,0.3000,0.5240,0.0040,-35.75,-28.67,77,150,TURN_LEFT
17.410,0.2960,0.5520,0.0080,-33.64,-7.56,109,150,TURN_LEFT
17.420,0.2920,0.5200,0.0200,-32.69,-13.90,99,150,TURN_LEFT
17.430,0.2960,0.5480,0.0200,-31.94,-14.68,98,150,TURN_LEFT
17.440,0.3400,0.5280,0.0000,-39.17,-66.86,20,150,TURN_LEFT
17.450,0.3000,0.5480,0.0000,-35.38,1.53,122,141,TURN_LEFT
17.460,0.3080,0.5480,0.0040,-35.35,-21.04,88,150,TURN_LEFT
17.470,0.2920,0.5120,0.0040,-35.64,-23.15,85,150,TURN_LEFT
17.480,0.3080,0.5360,0.0080,-35.21,-18.53,92,150,TURN_LEFT
17.490,0.2920,0.5240,0.0000,-35.78,-24.91,83,150,TURN_LEFT
17.500,0.2920,0.5400,0.0040,-34.45,-12.66,101,150,TURN_LEFT
17.510,0.3160,0.5640,0.0000,-35.91,-30.30,75,150,TURN_LEFT
17.520,0.2840,0.5440,0.0000,-34.30,-10.92,104,150,TURN_LEFT
17.530,0.2880,0.5720,0.0040,-32.87,-11.15,103,150,TURN_LEFT
17.540,0.2640,0.5920,0.0120,-29.03,5.61,128,134,TURN_LEFT
17.550,0.2760,0.5720,0.0160,-30.09,-24.42,83,150,TURN_LEFT
17.560,0.2800,0.5720,0.0160,-30.41,-20.18,90,150,TURN_LEFT
17.570,0.2680,0.5760,0.0000,-31.75,-27.08,79,150,TURN_LEFT
17.580,0.2520,0.5600,0.0000,-31.03,-14.31,99,150,TURN_LEFT
17.590,0.2640,0.5840,0.0280,-26.94,8.40,133,129,TURN_LEFT
17.600,0.2440,0.5840,0.0280,-25.23,-4.90,113,150,TURN_LEFT
17.610,0.2800,0.5920,0.0000,-32.11,-60.52,29,150,TURN_LEFT
17.620,0.2720,0.5680,0.0000,-32.38,-21.05,88,150,TURN_LEFT
17.630,0.2480,0.5920,0.0240,-25.93,23.17,150,102,TURN_LEFT
17.640,0.2800,0.5920,0.0120,-30.32,-44.53,53,150,TURN_LEFT
17.650,0.2440,0.5960,0.0000,-29.05,-9.81,105,150,TURN_LEFT
17.660,0.2560,0.5800,0.0160,-28.17,-11.63,103,150,TURN_LEFT
17.670,0.2360,0.6120,0.0000,-27.83,-14.67,98,150,TURN_LEFT
17.680,0.2240,0.5960,0.0000,-27.32,-13.31,100,150,TURN_LEFT
17.690,0.2560,0.6160,0.0120,-27.60,-18.27,93,150,TURN_LEFT
17.700,0.2280,0.6360,0.0000,-26.39,-8.56,107,150,TURN_LEFT
17.710,0.2440,0.6240,0.0120,-26.36,-15.67,97,150,TURN_LEFT
17.720,0.2200,0.6120,0.0000,-26.44,-16.34,95,150,TURN_LEFT
17.730,0.2280,0.6280,0.0240,-23.18,5.65,128,134,TURN_LEFT
17.740,0.2360,0.6440,0.0000,-26.82,-37.91,63,150,TURN_LEFT
17.750,0.2200,0.6560,0.0120,-23.42,6.31,129,133,TURN_LEFT
17.760,0.2000,0.6360,0.0000,-23.92,-17.35,94,150,TURN_LEFT
17.770,0.2160,0.6560,0.0000,-24.77,-19.95,90,150,TURN_LEFT
17.780,0.2000,0.6680,0.0280,-19.20,21.93,150,105,TURN_LEFT
17.790,0.2040,0.6760,0.0000,-23.18,-37.82,63,150,TURN_LEFT
17.800,0.2000,0.6720,0.0000,-22.94,-12.29,102,150,TURN_LEFT
17.810,0.1920,0.6520,0.0000,-22.75,-12.53,101,150,TURN_LEFT
17.820,0.1920,0.6840,0.0080,-20.81,-0.88,119,146,TURN_LEFT
17.830,0.2000,0.7000,0.0000,-22.22,-21.78,87,150,TURN_LEFT
17.840,0.1800,0.6960,0.0240,-17.33,18.93,148,110,TURN_LEFT
17.850,0.1640,0.6760,0.0080,-18.40,-17.42,94,150,TURN_LEFT
17.860,0.2040,0.6600,0.0000,-23.61,-45.46,52,150,TURN_LEFT
17.870,0.1680,0.7160,0.0160,-16.89,30.20,150,90,TURN_LEFT
17.880,0.1600,0.6880,0.0080,-17.76,-15.86,96,150,TURN_LEFT
17.890,0.1640,0.6960,0.0040,-18.52,-15.68,96,150,TURN_LEFT
17.900,0.1640,0.7400,0.0000,-18.14,-8.62,107,150,TURN_LEFT
17.910,0.1640,0.7360,0.0000,-18.22,-11.42,103,150,TURN_LEFT
17.920,0.1720,0.7280,0.0120,-17.54,-6.46,110,150,TURN_LEFT
17.930,0.1640,0.7280,0.0080,-17.33,-9.14,106,150,TURN_LEFT
17.940,0.1440,0.7280,0.0000,-16.51,-4.99,113,150,TURN_LEFT
17.950,0.1480,0.7600,0.0000,-16.30,-8.49,107,150,TURN_LEFT
17.960,0.1560,0.7360,0.0120,-15.93,-7.34,109,150,TURN_LEFT
17.970,0.1440,0.7680,0.0080,-14.78,-1.99,117,148,TURN_LEFT
17.980,0.1600,0.7480,0.0120,-16.09,-17.48,94,150,TURN_LEFT
17.990,0.1360,0.7760,0.0000,-14.91,-1.90,117,147,TURN_LEFT
18.000,0.1280,0.7720,0.0240,-11.26,15.19,143,117,TURN_LEFT
18.010,0.1480,0.8000,0.0000,-15.61,-35.51,67,150,TURN_LEFT
18.020,0.1320,0.7840,0.0240,-11.49,17.84,147,112,TURN_LEFT
18.030,0.1360,0.8200,0.0000,-14.23,-24.96,83,150,TURN_LEFT
18.040,0.1160,0.7880,0.0000,-12.83,0.67,121,143,TURN_LEFT
18.050,0.0840,0.8160,0.0040,-8.85,18.58,148,111,STRAIGHT
18.060,0.1160,0.8160,0.0120,-11.02,-19.61,91,150,TURN_LEFT
18.070,0.1160,0.8360,0.0000,-12.18,-14.32,99,150,TURN_LEFT
18.080,0.1200,0.8440,0.0000,-12.45,-9.05,106,150,TURN_LEFT
18.090,0.1080,0.8560,0.0000,-11.20,0.75,121,143,TURN_LEFT
18.100,0.0800,0.8480,0.0000,-8.62,10.32,135,125,STRAIGHT
18.110,0.0880,0.8600,0.0000,-9.28,-9.54,106,150,STRAIGHT
18.120,0.0920,0.8520,0.0200,-7.47,6.40,130,132,STRAIGHT
18.130,0.1080,0.8800,0.0240,-8.30,-9.97,105,150,STRAIGHT
18.140,0.0760,0.8840,0.0000,-7.92,-2.45,116,148,STRAIGHT
18.150,0.0960,0.8800,0.0040,-9.39,-14.46,98,150,STRAIGHT
18.160,0.0880,0.8760,0.0040,-8.68,-0.95,119,146,STRAIGHT
18.170,0.0800,0.8720,0.0000,-8.40,-3.40,115,150,STRAIGHT
18.180,0.0880,0.9040,0.0000,-8.87,-8.13,108,150,STRAIGHT
18.190,0.0680,0.9040,0.0240,-4.42,24.07,150,101,STRAIGHT
18.200,0.0720,0.9160,0.0360,-3.52,3.30,125,138,STRAIGHT
18.210,0.0800,0.8920,0.0080,-7.35,-27.40,79,150,STRAIGHT
18.220,0.0600,0.9240,0.0000,-6.10,3.84,126,137,STRAIGHT
18.230,0.0600,0.8920,0.0000,-6.30,-5.01,112,150,STRAIGHT
18.240,0.0480,0.9280,0.0000,-4.92,5.36,128,134,STRAIGHT
18.250,0.0800,0.8880,0.0160,-6.50,-13.42,100,150,STRAIGHT
18.260,0.0560,0.9560,0.0320,-2.30,23.85,150,101,STRAIGHT
18.270,0.0560,0.9360,0.0320,-2.34,-1.68,117,147,STRAIGHT
18.280,0.0840,0.9240,0.0040,-7.91,-38.11,63,150,STRAIGHT
18.290,0.0480,0.9320,0.0160,-3.21,26.23,150,97,STRAIGHT
18.300,0.0560,0.9560,0.0200,-3.49,-3.75,114,150,STRAIGHT
18.310,0.0320,0.9640,0.0160,-1.58,10.50,136,125,STRAIGHT
18.320,0.0520,0.9640,0.0080,-4.30,-18.87,92,150,STRAIGHT
18.330,0.0560,0.9520,0.0080,-4.72,-5.40,112,150,STRAIGHT
18.340,0.0240,0.9240,0.0280,0.41,31.05,150,88,STRAIGHT
18.350,0.0520,0.9600,0.0120,-3.91,-28.24,78,150,STRAIGHT
18.360,0.0560,0.9280,0.0200,-3.59,-0.23,120,144,STRAIGHT
18.370,0.0360,0.9880,0.0320,-0.38,19.01,149,110,STRAIGHT
18.380,0.0600,0.9480,0.0360,-2.30,-12.90,101,150,STRAIGHT
18.390,0.0280,0.9800,0.0120,-1.57,3.44,125,138,STRAIGHT
18.400,0.0440,0.9520,0.0040,-4.00,-16.99,95,150,STRAIGHT
18.410,0.0320,0.9920,0.0240,-0.76,18.96,148,110,STRAIGHT
18.420,0.0520,1.0000,0.0160,-3.37,-17.67,93,150,STRAIGHT
18.430,0.0520,0.9800,0.0120,-3.83,-5.06,112,150,STRAIGHT
18.440,0.0680,1.0000,0.0240,-4.03,-3.60,115,150,STRAIGHT
18.450,0.0480,0.9480,0.0200,-2.76,5.99,129,133,STRAIGHT
18.460,0.0200,0.9960,0.0040,-1.57,6.18,129,133,STRAIGHT
18.470,0.0360,0.9440,0.0160,-2.01,-3.84,114,150,STRAIGHT
18.480,0.0320,1.0000,0.0000,-3.10,-8.42,107,150,STRAIGHT
18.490,0.0240,0.9480,0.0000,-2.47,2.31,123,140,STRAIGHT
18.500,0.0240,0.9920,0.0240,0.00,14.81,142,117,STRAIGHT
18.510,0.0240,0.9600,0.0160,-0.80,-5.28,112,150,STRAIGHT
18.520,0.0200,0.9880,0.0440,2.28,19.86,150,108,STRAIGHT
18.530,0.0360,0.9640,0.0320,-0.39,-16.25,96,150,STRAIGHT
18.540,0.0200,0.9800,0.0240,0.39,4.90,127,135,STRAIGHT
18.550,0.0280,0.9840,0.0480,1.89,10.11,135,126,STRAIGHT
18.560,0.0440,0.9760,0.0240,-1.92,-23.96,84,150,STRAIGHT
18.570,0.0320,0.9880,0.0320,0.00,11.49,137,123,STRAIGHT
18.580,0.0440,0.9520,0.0080,-3.59,-23.67,85,150,STRAIGHT
18.590,0.0360,0.9960,0.0360,0.00,21.51,150,105,STRAIGHT
18.600,0.0120,0.9400,0.0280,1.63,10.78,136,125,STRAIGHT
18.610,0.0320,1.0000,0.0360,0.37,-7.32,109,150,STRAIGHT
18.620,0.0040,0.9560,0.0280,2.43,13.79,141,119,STRAIGHT
18.630,0.0280,0.9960,0.0280,0.00,-14.57,98,150,STRAIGHT
18.640,0.0040,0.9840,0.0560,4.98,32.87,150,85,STRAIGHT
18.650,0.0160,0.9840,0.0440,2.68,-12.18,102,150,STRAIGHT
18.660,0.0160,0.9920,0.0320,1.54,-5.94,111,150,STRAIGHT
18.670,0.0120,0.9560,0.0320,2.00,3.97,126,137,STRAIGHT
18.680,0.0000,0.9560,0.0360,3.63,11.95,138,122,STRAIGHT
18.690,0.0160,0.9480,0.0320,1.61,-11.17,103,150,STRAIGHT
18.700,0.0120,0.9840,0.0240,1.18,-1.87,117,147,STRAIGHT
18.710,0.0000,0.9240,0.0360,3.75,17.69,147,112,STRAIGHT
18.720,0.0320,0.9760,0.0360,0.38,-19.97,90,150,STRAIGHT
18.730,0.0040,0.9400,0.0560,5.20,32.02,150,86,STRAIGHT
18.740,0.0000,0.9640,0.0280,2.82,-12.57,101,150,STRAIGHT
18.750,0.0000,0.9680,0.0600,5.84,21.59,150,105,STRAIGHT
18.760,0.0120,0.9680,0.0480,3.50,-11.91,102,150,STRAIGHT
18.770,0.0000,0.9720,0.0520,5.08,12.50,139,121,STRAIGHT
18.780,0.0000,0.9640,0.0560,5.49,5.77,129,134,STRAIGHT
18.790,0.0080,0.9520,0.0440,3.59,-9.28,106,150,STRAIGHT
18.800,0.0200,0.9360,0.0560,3.56,1.96,123,140,STRAIGHT
18.810,0.0160,0.9320,0.0320,1.63,-10.57,104,150,STRAIGHT
18.820,0.0080,0.9120,0.0600,5.31,25.22,150,99,STRAIGHT
18.830,0.0080,0.9560,0.0520,4.33,-3.25,115,150,STRAIGHT
18.840,0.0160,0.9120,0.0520,3.67,-1.74,117,147,STRAIGHT
18.850,0.0200,0.9520,0.0600,3.88,3.54,125,138,STRAIGHT
18.860,0.0080,0.9080,0.0640,5.71,14.46,142,118,STRAIGHT
18.870,0.0000,0.9160,0.0640,6.53,8.82,133,128,STRAIGHT
18.880,0.0080,0.9040,0.0480,4.17,-11.68,102,150,STRAIGHT
18.890,0.0120,0.9360,0.0640,5.14,8.91,133,128,STRAIGHT
18.900,0.0120,0.8960,0.0560,4.56,-0.71,119,145,STRAIGHT
18.910,0.0120,0.9240,0.0680,5.58,9.43,134,127,STRAIGHT
18.920,0.0080,0.9160,0.0720,6.43,8.94,133,128,STRAIGHT
18.930,0.0000,0.8840,0.0800,8.30,16.22,144,115,STRAIGHT
18.940,0.0000,0.9280,0.0640,6.45,-7.21,109,150,STRAIGHT
18.950,0.0040,0.9040,0.0920,8.80,19.37,149,109,STRAIGHT
18.960,0.0000,0.9000,0.0760,7.79,-1.41,118,147,STRAIGHT
18.970,0.0000,0.8720,0.0560,6.03,-6.89,110,150,STRAIGHT
18.980,0.0000,0.8920,0.0920,9.35,25.50,150,98,STRAIGHT
18.990,0.0080,0.8920,0.0960,8.84,2.22,123,140,STRAIGHT
19.000,0.0000,0.8920,0.0800,8.23,1.31,122,142,STRAIGHT
19.010,0.0120,0.8480,0.0920,8.40,6.08,129,133,STRAIGHT
19.020,0.0160,0.8960,0.0760,6.07,-10.34,104,150,STRAIGHT
19.030,0.0240,0.8720,0.0640,4.17,-8.94,107,150,STRAIGHT
19.040,0.0280,0.8800,0.0800,5.26,9.74,135,126,STRAIGHT
19.050,0.0160,0.8560,0.0800,6.72,12.79,139,121,STRAIGHT
19.060,0.0080,0.8840,0.0960,8.91,18.45,148,111,STRAIGHT
19.070,0.0000,0.8320,0.0720,7.96,-0.87,119,146,STRAIGHT
19.080,0.0040,0.8840,0.0760,7.47,1.51,122,141,STRAIGHT
19.090,0.0080,0.8440,0.0920,8.90,13.92,141,119,STRAIGHT
19.100,0.0040,0.8720,0.0920,9.09,6.61,130,132,STRAIGHT
19.110,0.0000,0.8600,0.1000,10.42,14.20,141,118,TURN_RIGHT
19.120,0.0000,0.8520,0.0920,9.75,1.82,123,141,STRAIGHT
19.130,0.0240,0.8240,0.1040,8.40,-3.01,115,149,STRAIGHT
19.140,0.0080,0.8520,0.0880,8.44,5.28,128,135,STRAIGHT
19.150,0.0080,0.8400,0.1040,10.08,15.92,144,115,TURN_RIGHT
19.160,0.0000,0.8480,0.1160,12.03,18.91,148,110,TURN_RIGHT
19.170,0.0000,0.8160,0.1080,11.69,4.94,127,135,TURN_RIGHT
19.180,0.0000,0.8360,0.1080,11.44,5.38,128,134,TURN_RIGHT
19.190,0.0000,0.8240,0.0920,10.04,-2.36,116,148,TURN_RIGHT
19.200,0.0000,0.8560,0.0960,10.08,6.29,129,133,TURN_RIGHT
19.210,0.0080,0.8400,0.0880,8.55,-4.09,114,150,STRAIGHT
19.220,0.0240,0.8320,0.1280,10.57,18.47,148,111,TURN_RIGHT
19.230,0.0120,0.7960,0.1080,10.48,5.76,129,134,TURN_RIGHT
19.240,0.0120,0.8360,0.1080,10.04,3.39,125,138,TURN_RIGHT
19.250,0.0000,0.8160,0.1280,13.56,29.24,150,91,TURN_RIGHT
19.260,0.0000,0.8160,0.1080,11.69,-4.21,114,150,TURN_RIGHT
19.270,0.0160,0.8160,0.1240,11.30,4.43,127,136,TURN_RIGHT
19.280,0.0000,0.7960,0.1080,11.95,11.07,137,124,TURN_RIGHT
19.290,0.0000,0.8320,0.1160,12.24,9.08,134,128,TURN_RIGHT
19.300,0.0000,0.7920,0.1440,15.38,28.12,150,93,TURN_RIGHT
19.310,0.0240,0.8040,0.1200,10.13,-25.47,82,150,TURN_RIGHT
19.320,0.0000,0.7880,0.1120,12.44,21.37,150,106,TURN_RIGHT
19.330,0.0040,0.8160,0.1280,13.08,11.66,137,123,TURN_RIGHT
19.340,0.0200,0.7600,0.1080,9.91,-13.08,100,150,STRAIGHT
19.350,0.0120,0.7880,0.1160,11.35,15.48,143,116,TURN_RIGHT
19.360,0.0000,0.7840,0.1400,15.15,31.88,150,87,TURN_RIGHT
19.370,0.0080,0.8240,0.1240,12.13,-10.83,104,150,TURN_RIGHT
19.380,0.0000,0.7840,0.1280,14.04,19.83,150,108,TURN_RIGHT
19.390,0.0120,0.7960,0.1240,12.02,-4.90,113,150,TURN_RIGHT
19.400,0.0000,0.8160,0.1240,13.19,14.96,142,117,TURN_RIGHT
19.410,0.0080,0.8120,0.1360,13.39,9.22,134,127,TURN_RIGHT
19.420,0.0000,0.7920,0.1280,13.91,11.49,137,123,TURN_RIGHT
19.430,0.0000,0.7920,0.1320,14.29,10.81,136,125,TURN_RIGHT
19.440,0.0080,0.7920,0.1160,11.79,-7.90,108,150,TURN_RIGHT
19.450,0.0080,0.7640,0.1240,12.95,14.70,142,118,TURN_RIGHT
19.460,0.0000,0.7960,0.1240,13.48,11.28,137,124,TURN_RIGHT
19.470,0.0040,0.8000,0.1200,12.55,1.99,123,140,TURN_RIGHT
19.480,0.0000,0.7960,0.1240,13.48,13.63,140,119,TURN_RIGHT
19.490,0.0040,0.8040,0.1200,12.50,1.63,122,141,TURN_RIGHT
19.500,0.0120,0.7600,0.1240,12.50,7.50,131,130,TURN_RIGHT
19.510,0.0120,0.7920,0.1320,12.82,9.62,134,127,TURN_RIGHT
19.520,0.0200,0.7720,0.1520,13.98,15.37,143,116,TURN_RIGHT
19.530,0.0000,0.7800,0.1480,15.95,21.36,150,106,TURN_RIGHT
19.540,0.0000,0.7680,0.1400,15.42,6.07,129,133,TURN_RIGHT
19.550,0.0000,0.7640,0.1400,15.49,9.70,135,127,TURN_RIGHT
19.560,0.0080,0.7560,0.1480,15.35,8.40,133,129,TURN_RIGHT
19.570,0.0000,0.7640,0.1440,15.86,12.56,139,121,TURN_RIGHT
19.580,0.0000,0.7400,0.1360,15.53,7.31,131,131,TURN_RIGHT
19.590,0.0080,0.7680,0.1440,14.78,4.41,127,136,TURN_RIGHT
19.600,0.0040,0.7400,0.1280,14.22,5.16,128,135,TURN_RIGHT
19.610,0.0040,0.7440,0.1840,19.31,42.15,150,68,TURN_RIGHT
19.620,0.0000,0.7200,0.1400,16.28,-8.44,107,150,TURN_RIGHT
19.630,0.0080,0.7200,0.1680,17.86,20.18,150,108,TURN_RIGHT
19.640,0.0040,0.6920,0.1600,18.22,13.14,140,120,TURN_RIGHT
19.650,0.0080,0.7440,0.1680,17.39,5.44,128,134,TURN_RIGHT
19.660,0.0040,0.6840,0.2080,22.77,45.92,150,61,TURN_RIGHT
19.670,0.0120,0.6960,0.1560,16.67,-26.61,80,150,TURN_RIGHT
19.680,0.0000,0.6960,0.1640,19.07,25.86,150,97,TURN_RIGHT
19.690,0.0120,0.6880,0.1720,18.35,6.68,130,132,TURN_RIGHT
19.700,0.0000,0.6680,0.1960,22.69,39.63,150,73,TURN_RIGHT
19.710,0.0000,0.6640,0.1880,22.07,9.52,134,127,TURN_RIGHT
19.720,0.0000,0.6720,0.2000,22.94,18.98,148,110,TURN_RIGHT
19.730,0.0120,0.6720,0.1880,20.18,-4.40,113,150,TURN_RIGHT
19.740,0.0200,0.6560,0.2000,20.55,14.52,142,118,TURN_RIGHT
19.750,0.0040,0.6320,0.2080,24.17,36.24,150,79,TURN_RIGHT
19.760,0.0000,0.6400,0.2200,25.58,23.81,150,101,TURN_RIGHT
19.770,0.0000,0.6400,0.2440,27.60,28.68,150,92,TURN_RIGHT
19.780,0.0240,0.6120,0.2200,22.90,-14.49,98,150,TURN_RIGHT
19.790,0.0000,0.6120,0.2480,28.84,52.94,150,49,TURN_RIGHT
19.800,0.0160,0.6120,0.2480,26.48,1.77,123,141,TURN_RIGHT
19.810,0.0000,0.6000,0.2560,29.91,38.48,150,75,TURN_RIGHT
19.820,0.0280,0.6000,0.2440,24.77,-15.95,96,150,TURN_RIGHT
19.830,0.0080,0.6120,0.2520,27.98,36.06,150,79,TURN_RIGHT
19.840,0.0120,0.5920,0.2720,29.68,28.00,150,94,TURN_RIGHT
19.850,0.0040,0.5880,0.2840,31.96,32.88,150,85,TURN_RIGHT
19.860,0.0000,0.5960,0.2760,31.65,17.12,146,113,TURN_RIGHT
19.870,0.0000,0.5720,0.2720,32.23,22.79,150,103,TURN_RIGHT
19.880,0.0000,0.5680,0.2920,33.95,30.73,150,89,TURN_RIGHT
19.890,0.0040,0.5720,0.2680,31.28,2.72,124,139,TURN_RIGHT
19.900,0.0000,0.5480,0.2960,35.07,43.79,150,65,TURN_RIGHT
19.910,0.0120,0.5600,0.3000,33.03,7.56,131,130,TURN_RIGHT
19.920,0.0120,0.5480,0.2960,33.18,20.81,150,107,TURN_RIGHT
19.930,0.0000,0.5200,0.3360,39.25,60.00,150,36,TURN_RIGHT
19.940,0.0080,0.5640,0.3040,33.79,-12.50,101,150,TURN_RIGHT
19.950,0.0120,0.5160,0.3240,36.62,38.95,150,74,TURN_RIGHT
19.960,0.0080,0.5360,0.3320,36.99,24.39,150,100,TURN_RIGHT
19.970,0.0120,0.5160,0.3520,38.64,33.08,150,84,TURN_RIGHT
19.980,0.0000,0.5040,0.3600,41.67,43.18,150,66,TURN_RIGHT
19.990,0.0000,0.5120,0.3480,40.47,17.07,146,113,TURN_RIGHT
20.000,0.0000,0.5120,0.3400,39.91,20.59,150,107,TURN_RIGHT
20.010,0.0000,0.5040,0.3360,40.00,24.56,150,100,TURN_RIGHT
20.020,0.0000,0.4840,0.3480,41.83,36.06,150,79,TURN_RIGHT
20.030,0.0040,0.4880,0.3760,42.86,31.90,150,87,TURN_RIGHT
20.040,0.0200,0.4840,0.3640,39.63,4.42,127,136,TURN_RIGHT
20.050,0.0000,0.4760,0.3760,44.13,53.48,150,48,TURN_RIGHT
20.060,0.0000,0.4840,0.3600,42.65,16.73,145,114,TURN_RIGHT
20.070,0.0000,0.4760,0.3960,45.41,43.80,150,65,TURN_RIGHT
20.080,0.0000,0.4720,0.3760,44.34,20.16,150,108,TURN_RIGHT
20.090,0.0080,0.4680,0.3920,44.24,25.94,150,97,TURN_RIGHT
20.100,0.0040,0.4680,0.4040,45.66,35.93,150,79,TURN_RIGHT
20.110,0.0000,0.4720,0.3960,45.62,27.13,150,95,TURN_RIGHT
20.120,0.0000,0.4520,0.4080,47.44,39.38,150,73,TURN_RIGHT
20.130,0.0000,0.4400,0.4360,49.77,43.84,150,65,TURN_RIGHT
20.140,0.0000,0.4320,0.4240,49.53,28.29,150,93,TURN_RIGHT
20.150,0.0000,0.4320,0.4400,50.46,35.83,150,80,TURN_RIGHT
20.160,0.0160,0.4480,0.4160,45.45,-2.75,116,149,TURN_RIGHT
20.170,0.0000,0.4400,0.4400,50.00,57.27,150,41,TURN_RIGHT
20.180,0.0040,0.4200,0.4480,50.92,36.06,150,79,TURN_RIGHT
20.190,0.0000,0.4240,0.4560,51.82,36.50,150,78,TURN_RIGHT
20.200,0.0200,0.4360,0.4360,46.64,-3.11,115,150,TURN_RIGHT
20.210,0.0000,0.4560,0.4160,47.71,35.04,150,81,TURN_RIGHT
20.220,0.0120,0.4280,0.4480,49.10,37.82,150,76,TURN_RIGHT
20.230,0.0000,0.4080,0.4280,51.20,43.30,150,66,TURN_RIGHT
20.240,0.0160,0.4000,0.4320,49.06,16.60,145,114,TURN_RIGHT
20.250,0.0000,0.4360,0.4400,50.23,37.17,150,77,TURN_RIGHT
20.260,0.0080,0.4040,0.4760,52.70,46.47,150,60,TURN_RIGHT
20.270,0.0040,0.4200,0.4400,50.46,16.84,145,114,TURN_RIGHT
20.280,0.0000,0.4160,0.4680,52.94,46.63,150,60,TURN_RIGHT
20.290,0.0000,0.4240,0.4520,51.60,22.90,150,103,TURN_RIGHT
20.300,0.0040,0.4240,0.4600,51.35,29.33,150,91,TURN_RIGHT
20.310,0.0080,0.4200,0.4320,49.30,17.29,146,113,TURN_RIGHT
20.320,0.0160,0.4280,0.4360,47.73,19.19,149,109,TURN_RIGHT
20.330,0.0000,0.4040,0.4400,52.13,57.71,150,40,TURN_RIGHT
20.340,0.0120,0.4440,0.4280,47.06,-2.21,117,148,TURN_RIGHT
20.350,0.0160,0.4160,0.4400,48.62,38.56,150,75,TURN_RIGHT
20.360,0.0040,0.4320,0.4200,48.60,29.00,150,92,TURN_RIGHT
20.370,0.0000,0.4400,0.4280,49.31,33.85,150,83,TURN_RIGHT
20.380,0.0000,0.4360,0.4240,49.30,29.54,150,91,TURN_RIGHT
20.390,0.0040,0.4240,0.4360,50.00,34.19,150,82,TURN_RIGHT
20.400,0.0000,0.4440,0.4040,47.64,14.43,142,118,TURN_RIGHT
